"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","238","Проверка ответа на вопрос №8","tests","Wed Mar 12 21:19:40 MSK 2025","passed","Wed Mar 12 21:19:40 MSK 2025","","test_questions","",""
"","253","Проверка ответа на вопрос №2","tests","Wed Mar 12 21:15:23 MSK 2025","passed","Wed Mar 12 21:15:23 MSK 2025","","test_questions","",""
"Проверка открытия новой вкладки с Дзеном через логотип Яндекса","9947","Переход через логотип Яндекса","tests","Wed Mar 12 21:14:05 MSK 2025","passed","Wed Mar 12 21:14:15 MSK 2025","TestLogoNavigation","test_navigation","",""
"","239","Проверка ответа на вопрос №1","tests","Wed Mar 12 21:14:54 MSK 2025","passed","Wed Mar 12 21:14:55 MSK 2025","","test_questions","",""
"","244","Проверка ответа на вопрос №3","tests","Wed Mar 12 21:16:04 MSK 2025","passed","Wed Mar 12 21:16:05 MSK 2025","","test_questions","",""
"","250","Проверка ответа на вопрос №7","tests","Wed Mar 12 21:18:05 MSK 2025","passed","Wed Mar 12 21:18:05 MSK 2025","","test_questions","",""
"Проверка редиректа на главную страницу через логотип Самоката","232","Переход через логотип Самоката","tests","Wed Mar 12 21:13:48 MSK 2025","passed","Wed Mar 12 21:13:48 MSK 2025","TestLogoNavigation","test_navigation","",""
"","227","Проверка ответа на вопрос №5","tests","Wed Mar 12 21:16:49 MSK 2025","passed","Wed Mar 12 21:16:49 MSK 2025","","test_questions","",""
"","262","Проверка ответа на вопрос №4","tests","Wed Mar 12 21:16:30 MSK 2025","passed","Wed Mar 12 21:16:30 MSK 2025","","test_questions","",""
"","248","Проверка ответа на вопрос №6","tests","Wed Mar 12 21:17:08 MSK 2025","passed","Wed Mar 12 21:17:08 MSK 2025","","test_questions","",""
"Проверка полного цикла оформления через header кнопку","4005","Оформление заказа через header","tests","Wed Mar 12 21:14:30 MSK 2025","passed","Wed Mar 12 21:14:34 MSK 2025","","test_orders","",""
